PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter (in)	EndThickness (in)	CATRouOutsideDiameter (in)
NOZZLE-150-00.50in	1/2in	150#	0.840	3.000	3.50	0.440	0.840
NOZZLE-150-00.75in	3/4in	150#	1.050	4.000	3.88	0.500	1.050
NOZZLE-150-01.00in	1in	150#	1.315	5.000	4.25	0.560	1.315
NOZZLE-150-01.25in	1 1/4in	150#	1.660	6.000	4.62	0.620	1.660
NOZZLE-150-01.50in	1 1/2in	150#	1.900	8.000	5.00	0.690	1.900
NOZZLE-150-02.00in	2in	150#	2.375	10.000	6.00	0.750	2.375
NOZZLE-150-02.50in	2 1/2in	150#	2.875	10.000	7.00	0.880	2.875
NOZZLE-150-03.00in	3in	150#	3.500	10.000	7.50	0.940	3.500
NOZZLE-150-04.00in	4in	150#	4.500	10.000	9.00	0.940	4.500
NOZZLE-150-05.00in	5in	150#	5.563	10.000	10.00	0.940	5.563
NOZZLE-150-06.00in	6in	150#	6.625	12.000	11.00	1.000	6.625
NOZZLE-150-08.00in	8in	150#	8.625	14.000	13.50	1.120	8.625
NOZZLE-150-10.00in	10in	150#	10.75	17.000	16.00	1.190	10.75
NOZZLE-150-12.00in	12in	150#	12.75	20.000	19.00	1.250	12.75
NOZZLE-150-14.00in	14in	150#	14.00	22.000	21.00	1.380	14.00
NOZZLE-150-16.00in	16in	150#	16.00	25.000	23.50	1.440	16.00
NOZZLE-150-18.00in	18in	150#	18.00	26.000	25.00	1.560	18.00
NOZZLE-150-20.00in	20in	150#	20.00	28.000	27.50	1.690	20.00
NOZZLE-150-24.00in	24in	150#	24.00	30.000	32.00	1.880	24.00

